Suburb	Council_Area
Yendon 	Moorabool S  
Yeo 	Colac Otway S  
Yeodene 	Colac Otway S  
Yering 	Yarra Ranges S  
Yeungroon 	Buloke S  
Yeungroon East 	Buloke S  
Yeungroon East 	Loddon S  
Yielima 	Moira S  
Yinnar 	Latrobe C  
Yinnar South 	Latrobe C  
York Plains (-)	Northern Grampians S  
Youanmite 	Moira S  
Youarang 	Moira S  
Yulecart 	Southern Grampians S  
Yundool 	Moira S  
Yuroke 	Hume C  
Yuulong 	Colac Otway S  
Yuulong 	Corangamite S  
Zeerust 	Greater Shepparton C  
Zumsteins 	Northern Grampians S  
