Suburb	Council_Area
Cape Otway 	Colac Otway S  
Cape Paterson 	Bass Coast S  
Cape Schanck 	Mornington Pen S  
Cape Woolamai 	Bass Coast S  
Capels Crossing 	Gannawarra S  
Carag Carag 	Campaspe S  
Caralulup 	Central Goldfields S  
Caramut 	Moyne S  
Caramut 	Southern Grampians S  
Carapooee 	Northern Grampians S  
Carapooee West 	Nthn Grampians S  
Carapook 	Glenelg S  
Carapook 	Southern Grampians S  
Carboor 	Wangaratta RC  
Cardigan 	Ballarat C  
Cardigan Village 	Ballarat C  
Cardinia 	Cardinia S  
Cardross 	Mildura RC  
Cargerie 	Moorabool S  
Carina 	Mildura RC  
Caringal 	Baw Baw S  
Carisbrook 	Central Goldfields S  
Carisbrook 	Mount Alexander S  
Carlisle River 	Colac Otway S  
Carlisle River 	Corangamite S  
Carlsruhe 	Macedon Ranges S  
Carlton 	Melbourne C  
Carlton North 	Melbourne C  
Carlton North 	Yarra C  
Carlyle 	Indigo S  
Carnegie 	Glen Eira C  
Carngham 	Pyrenees S  
Caroline Springs 	Melton S  
Carpendeit 	Colac Otway S  
Carpendeit 	Corangamite S  
Carrajung 	Wellington S  
Carrajung Lower 	Wellington S  
Carrajung South 	Wellington S  
Carranballac 	Ararat RC  
Carranballac 	Pyrenees S  
Carron 	Buloke S  
Carrum 	Kingston C  
Carrum Downs 	Frankston C  
Carwarp 	Mildura RC  
Cashmore 	Glenelg S  
Cassilis 	East Gippsland S  
Castella 	Murrindindi S  
Casterton 	Glenelg S  
Castle Creek 	Wodonga RC  
Castle Donnington 	Swan Hill RC  
Castleburn 	Wellington S  
Castlemaine 	Mount Alexander S  
Catani 	Cardinia S  
Cathcart 	Ararat RC  
Cathkin 	Murrindindi S  
Catumnal 	Loddon S  
Caulfield 	Glen Eira C  
Caulfield East 	Glen Eira C  
Caulfield North 	Glen Eira C  
Caulfield South 	Glen Eira C  
Caveat 	Murrindindi S  
Cavendish 	Southern Grampians S  
Ceres 	Greater Geelong C  
Chadstone 	Monash C  
Chandlers Creek 	East Gippsland S  
Chapel Flat 	Ballarat C  
Chapple Vale 	Colac Otway S  
Chapple Vale 	Corangamite S  
Charam 	West Wimmera S  
Charleroi 	Indigo S  
Charlton 	Buloke S  
Chatsworth 	Ararat RC  
Chatsworth 	Moyne S  
Chelsea 	Kingston C  
Chelsea Heights 	Kingston C  
Cheltenham 	Bayside C  
Cheltenham 	Kingston C  
Chepstowe 	Pyrenees S  
Cherokee 	Macedon Ranges S  
Cherrilong 	Wellington S  
Cherrypool 	Northern Grampians S  
Cherrypool 	Southern Grampians S  
Cheshunt 	Wangaratta RC  
Cheshunt South 	Wangaratta RC  
Chesney Vale 	Benalla RC  
Chetwynd 	Glenelg S  
Chetwynd 	West Wimmera S  
Cheviot 	Murrindindi S  
Chewton 	Mount Alexander S  
Chewton Bushlands 	Mt Alexander S  
Childers 	Baw Baw S  
Chillingollah 	Swan Hill RC  
Chiltern 	Indigo S  
Chiltern Valley 	Indigo S  
Chinangin 	Swan Hill RC  
Chinkapook 	Swan Hill RC  
Chintin 	Macedon Ranges S  
Chirnside Park 	Yarra Ranges S  
Chirrup 	Buloke S  
Chocolyn 	Corangamite S  
Christies 	Wellington S  
Christmas Hills 	Nillumbik S  
Chum Creek 	Yarra Ranges S  
Churchill 	Latrobe C  
Churchill Island 	Bass Coast S  
Chute 	Pyrenees S  
Clarendon 	Moorabool S  
Claretown 	Moorabool S  
Clarinda 	Kingston C  
Clarkefield 	Hume C  
Clarkefield 	Macedon Ranges S  
Clarkes Hill 	Moorabool S  
Clayton 	Monash C  
Clayton South 	Kingston C  
Clear Lake 	Horsham RC  
Clematis 	Cardinia S  
